"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Learning Semantic Features for Software Defect Prediction by Code Comments Embedding","X. Huo; Y. Yang; M. Li; D. -C. Zhan","National Key Laboratory for Novel Software Technology, Nanjing University; National Key Laboratory for Novel Software Technology, Nanjing University; National Key Laboratory for Novel Software Technology, Nanjing University; National Key Laboratory for Novel Software Technology, Nanjing University",2018 IEEE International Conference on Data Mining (ICDM),"30 Dec 2018","2018","","","1049","1054","Software Quality Assurance (SQA) is essential in software development and many defect prediction methods based on machine learning have been proposed to identify defective modules. However, most existing defect prediction models do not provide good defect prediction results, and the semantic features reflecting the detective patterns may not be well-captured via traditional feature extraction methods. More information such as code comments should be also be embedded to generate semantic features respecting the source code functionality. Therefore, how to embed code comments for defect prediction is a big challenge, and another problem is that many comments of source code are missing in real-world applications. In this paper, we propose a novel defect prediction model named CAP-CNN (Convolutional Neural Network for Comments Augmented Programs), which is a deep learning model that automatically embeds code comments in generating semantic features from the source code for software defect prediction. To overcome the missing comments problem, a novel training strategy is used in CAP-CNN that the network encodes and absorb comments information to generate semantic features automatically during training process, which does not need testing modules to contain comments. Experimental results on several widely-used software data sets indicate that the comment features are able to improve defect prediction performance.","2374-8486","978-1-5386-9159-5","10.1109/ICDM.2018.00133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594942","data mining, software mining, software defect prediction","Semantics;Software;Feature extraction;Predictive models;Training;Testing;Encoding","","18","","26","IEEE","30 Dec 2018","","","IEEE","IEEE Conferences"
"Predicting Line-Level Defects by Capturing Code Contexts with Hierarchical Transformers","P. Mahbub; M. M. Rahman","Faculty of Computer Science, Dalhousie University, Canada; Faculty of Computer Science, Dalhousie University, Canada","2024 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","16 Jul 2024","2024","","","308","319","Software defects consume 40% of the total budget in software development and cost the global economy billions of dollars every year. Unfortunately, despite the use of many software quality assurance (SQA) practices in software development (e.g., code review, continuous integration), defects may still exist in the official release of a software product. Therefore, prioritizing SQA efforts for the vulnerable areas of the codebase is essential to ensure the high quality of a software release. Predicting software defects at the line level could help prioritize the SQA effort but is a highly challenging task given that only ≈ 3% lines of a codebase could be defective. Existing works on line-level defect prediction often fall short and cannot fully leverage the line-level defect information. In this paper, we propose - Bugsplorer - a novel deep-learning technique for line-level defect prediction. It leverages a hierarchical structure of transformer models to represent two types of code elements: code tokens and code lines. Unlike the existing techniques that are optimized for file-level defect prediction, Bugsplorer is optimized for a line-level defect prediction objective. Our evaluation with five performance metrics shows that Bugsplorer has a promising capability of predicting defective lines with 26–72% better accuracy than that of the state-of-the-art technique. It can rank the first 20% defective lines within the top 1–3% suspicious lines. Thus, Bugsplorer has the potential to significantly reduce SQA costs by ranking defective lines higher.","2640-7574","979-8-3503-3066-3","10.1109/SANER60148.2024.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10589817","software quality assurance;line-level defect prediction;deep learning;transformers","Measurement;Codes;Costs;Accuracy;Reviews;Biological system modeling;Software quality","","2","","58","IEEE","16 Jul 2024","","","IEEE","IEEE Conferences"
"How Well Do Change Sequences Predict Defects? Sequence Learning from Software Changes","M. Wen; R. Wu; S. -C. Cheung","Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Kowloon, Hong Kong, China; Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Kowloon, Hong Kong, China; Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Kowloon, Hong Kong, China",IEEE Transactions on Software Engineering,"11 Nov 2020","2020","46","11","1155","1175","Software defect prediction, which aims to identify defective modules, can assist developers in finding bugs and prioritizing limited quality assurance resources. Various features to build defect prediction models have been proposed and evaluated. Among them, process metrics are one important category. Yet, existing process metrics are mainly encoded manually from change histories and ignore the sequential information arising from the changes during software evolution. Are the change sequences derived from such information useful to characterize buggy program modules? How can we leverage such sequences to build good defect prediction models? Unlike traditional process metrics used for existing defect prediction models, change sequences are mostly vectors of variable length. This makes it difficult to apply such sequences directly in prediction models that are driven by conventional classifiers. To resolve this challenge, we utilize Recurrent Neural Network (RNN), which is a deep learning technique, to encode features from sequence data automatically. In this paper, we propose a novel approach called Fences, which extracts six types of change sequences covering different aspects of software changes via fine-grained change analysis. It approaches defects prediction by mapping it to a sequence labeling problem solvable by RNN. Our evaluations on 10 open source projects show that Fences can predict defects with high performance. In particular, our approach achieves an average F-measure of 0.657, which improves the prediction models built on traditional metrics significantly. The improvements vary from 31.6 to 46.8 percent on average. In terms of AUC, Fences achieves an average value of 0.892, and the improvements over baselines vary from 4.2 to 16.1 percent. Fences also outperforms the state-of-the-art technique which learns semantic features automatically from static code via deep learning.","1939-3520","","10.1109/TSE.2018.2876256","Hong Kong RGC/GRF(grant numbers:16202917); 2018 MSRA collaborative research fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8493303","Defect prediction;process metrics;sequence learning","Measurement;Software;Predictive models;Semantics;History;Machine learning;Feature extraction","","33","","74","IEEE","16 Oct 2018","","","IEEE","IEEE Journals"
"Enhancing Software Reliability Through Machine Learning: Prediction Through Evaluation Metrics","S. Shaikh; S. Ghosh","Department of Computer Science and Engineering, COEP Technological University, Pune, India; Department of Computer Science and Engineering, COEP Technological University, Pune, India",2024 IEEE International Conference on Blockchain and Distributed Systems Security (ICBDS),"17 Jan 2025","2024","","","1","6","Predicting and managing software faults is crucial in modern development, demanding costeffective and dependable strategies. Traditional approaches based on historical data or modulespecific insights frequently fall short of predictive capabilities. To address this, an automated machine learning-based defect prediction model is proposed, enabling proactive error detection and resolution, thus enhancing software performance and efficiency. This ensures seamless task continuity and bolsters software resilience. Comprehensive evaluation metrics, including accuracy, precision, recall, specificity, F1 measure, and tenfold cross-validation, ensure thorough performance assessment. Integration of DevSecOps principles becomes imperative for bolstering code security and vulnerability mitigation. By leveraging machine learning for defect prediction, the DevSecOps pipeline is strengthened, facilitating early threat identification and mitigation. Prioritizing testing efforts based on predicted fault likelihood enhances resource allocation, optimizing efficiency and software quality. Moreover, a novel methodology automatically extracts semantic representations from source code, bridging the semantic gap inherent in traditional defect prediction systems. Experimental validation using diverse datasets highlights the efficacy of the proposed technique, surpassing established approaches like PCA, LDA, and Kernel PCA(KPCA) in capturing intricate program semantics. Using several classifiers like decision tree, Naïve Bayes, Random Forest, K-Nearest Neighbors (KNN) , and SVM, achieved the accuracy in the article, up to 73 % and by merging all datasets and improving deep learning models i.e. ANN we achieved the papers highest accuracy of up to 95 %. In conclusion, this study presents a comprehensive methodology combining machine learning and deep learning based DevSecOps principles to enhance software defect prediction and testing. By leveraging advanced techniques, software professionals can anticipate and address faults, fortify security, and optimize resource utilization, thereby improving software reliability and efficiency in contemporary development scenarios.","","979-8-3503-5434-8","10.1109/ICBDS61829.2024.10837281","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10837281","Software fault prediction;Machine learning;DevSecOps;Evaluation metrics;Vulnerability mitigation;Testing prioritization","Measurement;Deep learning;Accuracy;Prevention and mitigation;Semantics;Nearest neighbor methods;Software reliability;Security;Resource management;Testing","","","","21","IEEE","17 Jan 2025","","","IEEE","IEEE Conferences"
"A Deep Dive into Software Fault Prediction: Evaluating CNN and RNN Models","S. K. Gunda","Software Engineer, The Home Depot, Atlanta, Georgia, USA",2024 International Conference on Electronic Systems and Intelligent Computing (ICESIC),"22 Jan 2025","2024","","","224","228","Software fault prediction is a fundamental task in software engineering because early detection of defects leads to less maintenance costs and better-quality programs. This study also cites a deep learning model for software defect prediction based on Convolutional Neural Networks (CNN) and Recurrent Neural Networks (RNN). The process of methodology includes collecting a software measurement dataset, performing feature scaling and transformation on it, and splitting the data into training and validation. Later, CNN and RNN models were trained to evaluate according to relevant metrics including accuracy, precision, recall, F1-score, ROC, and, AUC. However, in the evaluation, CNN reached an accuracy of 81.35%, an F1-score is 47.21% and an ROC AUC is 78.59%, while RNN had an accuracy of 81.05%, an F1-score is 46.89%, and an ROC AUC of 77.79%. While both models have similar accuracy, CNN outperforms RNN in precision and ROCAUC which means it can detect software vulnerabilities with fewer false positives. However, the RNN exhibits only slightly better recall, suggesting that it identified a larger portion of failing cases. This research underscores that various deep learning approaches each have their advantages and limitations in defect prediction. It contributes to the literature on software failure prediction using deep learning models and offers practical guidance for practitioners aiming to enhance software reliability.","","979-8-3315-2298-8","10.1109/ICESIC61777.2024.10846549","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10846549","Software fault;Deep Learning;Convolutional Neural Networks;Recurrent Neural Networks;Prediction","Deep learning;Recurrent neural networks;Accuracy;Costs;Predictive models;Software;Maintenance;Convolutional neural networks;Software measurement;Tuning","","3","","24","IEEE","22 Jan 2025","","","IEEE","IEEE Conferences"
"DeepLineDP: Towards a Deep Learning Approach for Line-Level Defect Prediction","C. Pornprasit; C. K. Tantithamthavorn","Faculty of Information Technology, Monash University, Melbourne, VIC, Australia; Faculty of Information Technology, Monash University, Melbourne, VIC, Australia",IEEE Transactions on Software Engineering,"9 Jan 2023","2023","49","1","84","98","Defect prediction is proposed to assist practitioners effectively prioritize limited Software Quality Assurance (SQA) resources on the most risky files that are likely to have post-release software defects. However, there exist two main limitations in prior studies: (1) the granularity levels of defect predictions are still coarse-grained and (2) the surrounding tokens and surrounding lines have not yet been fully utilized. In this paper, we perform a survey study to better understand how practitioners perform code inspection in modern code review process, and their perception on a line-level defect prediction. According to the responses from 36 practitioners, we found that 50% of them spent at least 10 minutes to more than one hour to review a single file, while 64% of them still perceived that code inspection activity is challenging to extremely challenging. In addition, 64% of the respondents perceived that a line-level defect prediction tool would potentially be helpful in identifying defective lines. Motivated by the practitioners’ perspective, we present DeepLineDP, a deep learning approach to automatically learn the semantic properties of the surrounding tokens and lines in order to identify defective files and defective lines. Through a case study of 32 releases of 9 software projects, we find that the risk score of code tokens varies greatly depending on their location. Our DeepLineDP is 17%-37% more accurate than other file-level defect prediction approaches; is 47%-250% more cost-effective than other line-level defect prediction approaches; and achieves a reasonable performance when transferred to other software projects. These findings confirm that the surrounding tokens and surrounding lines should be considered to identify the fine-grained locations of defective files (i.e., defective lines).","1939-3520","","10.1109/TSE.2022.3144348","Australian Research Council; Discovery Early Career Researcher Award(grant numbers:DE200100941); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9689967","Software quality assurance;line-level defect prediction;deep learning;explainable AI","Codes;Software;Inspection;Social networking (online);Deep learning;Predictive models;Semantics","","87","","80","IEEE","21 Jan 2022","","","IEEE","IEEE Journals"
"Enhancing Cross-Project Just-In-Time Defect Prediction with Active Deep Learning","Y. Wang; Y. Li; Y. Ren; J. Yu","Colloege of Computer Science and Technology, Xinjiang Normal University, Urumqi, Xinjiang, China; Colloege of Computer Science and Technology, Xinjiang Normal University, Urumqi, Xinjiang, China; Xinjiang Electronics Research Institute, Urumqi, Xinjiang, China; Colloege of Computer Science and Technology, Xinjiang Normal University, Urumqi, Xinjiang, China","2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)","19 Feb 2024","2023","","","93","102","Cross-project just-in-time defect prediction modeling techniques can address the challenge of limited training data in within-project just-in-time defect prediction when dealing with new projects. Annotating data for new projects using data annotation algorithms often introduces noise, and manual labeling is expensive. Therefore, this paper proposes an active deep learning-based cross-project just-in-time software defect prediction method (ADLCross-JIT). Firstly, the method selects code changes with high similarity to the target project from the source project as the labeled samples using the Burak filter, while the target project serves as the unlabeled sample pool. Secondly, a small set of valuable uncertainty samples is selected from the unlabeled sample pool using data-driven active deep learning and provided to Oracle for annotation, and then the annotated samples are added to the labeled sample pool. Lastly, a low-cost data annotation model is constructed based on the labeled sample pool and employed for cross-project just-in-time software defect prediction. Experimental results demonstrate that the proposed method effectively enhances the performance of the cross-project just-in-time software defect prediction model.","2693-9371","979-8-3503-5939-8","10.1109/QRS-C60940.2023.00073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10430009","Crass-project just-in-time software defect prediction;Deep learning;Active learning;Data-driven","Deep learning;Uncertainty;Annotations;Predictive models;Software;Data models;Labeling","","1","","27","IEEE","19 Feb 2024","","","IEEE","IEEE Conferences"
"A Framework based on Deep Neural Network for Ranking-oriented Software Defect Prediction","J. Dai; X. Yang; B. Huang; X. Lu","College of Big Data and Internet, Shenzhen Technology University, Shenzhen, China; College of Big Data and Internet, Shenzhen Technology University, Shenzhen, China; College of Big Data and Internet, Shenzhen Technology University, Shenzhen, China; Department of Computer Science and Engineering, Guangdong Provincial Key Laboratory of Brain-Inspired Intelligent Computation, Southern University of Science and Technology, Shenzhen, China","2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security (QRS)","25 Dec 2023","2023","","","60","71","Software systems are getting larger and more complex than ever before. In order to improve software reliability, software defect prediction is applied to assist developers in bug discovery. The ranking-oriented software defect prediction aims to rank software modules according to the predicted defect counts. However, existing ranking-oriented defect prediction models are constructed based on traditional hand-crafted features, which might overlook the rich syntactic information buried inside the source codes. In this paper, we propose a universal deep learning-based framework called United Deep Network for ranking-oriented software defect prediction. This framework utilizes deep neural networks to automatically generate features from source code with the syntactic and structural information preserved, and it can combine extracted features with traditional hand-crafted features in order to take advantage of both kinds of features to construct prediction models. Experimental results over 29 sets of data show the good performance of the proposed framework for building ranking-oriented defect prediction models.","2693-9177","979-8-3503-1958-3","10.1109/QRS60937.2023.00016","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10366604","ranking-oriented software defect prediction;deep neural network;convolutional neural network;recurrent neural network","Source coding;Artificial neural networks;Software quality;Predictive models;Syntactics;Feature extraction;Software systems","","1","","43","IEEE","25 Dec 2023","","","IEEE","IEEE Conferences"
"A Systematic Review on Application of Deep Learning Techniques for Software Quality Predictive Modeling","R. Malhotra; S. Gupta; T. Singh","Dept. of Computer Science and Engineering, Delhi Technological University, Delhi, India; Dept. of Software Engineering, Delhi Technological University, Delhi, India; Dept. of Software Engineering, Delhi Technological University, Delhi, India",2020 International Conference on Computational Performance Evaluation (ComPE),"18 Sep 2020","2020","","","332","337","Software quality prediction is the process of evaluating the software developed for various metrics like defect prediction, bug localisation, effort estimation etc. To evaluate these metrics a myriad of techniques have been developed in the literature, from manual assessment to application of machine learning and statistical testing. These methodologies, however, had lower accuracy in determining SQPMs due to their inability to model the complex relationships in the training data. With the wide emergence of deep learning, not only has the accuracy of the pre-existing models enhanced, but it has also opened doors for new metrics that could be evaluated and automated. This study performs a systematic literature review of research papers published from January 1990 to January 2019 that used deep learning to evaluate software quality prediction metrics (SQPM). The paper identifies 20 primary studies and 7 categories of application of deep learning in SQPM. Models using deep learning techniques significantly outperform other traditional methodologies in almost all studies. The concept and external threats to the models are limited, however the time taken to train these models is large. The techniques, currently predominantly applied for defect prediction, have shown promising results in other diverse software engineering fields like code search and effort estimation by modeling the source code efficiently. There is, hence, scope for incorporating deep learning further with pragmatic use and diverse application. The need to find scalable solutions, however, still persists.","","978-1-7281-6644-5","10.1109/ComPE49325.2020.9200103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9200103","deep learning;software quality prediction metrics;systematic literature review;defect prediction;fault localisation;effort estimation","Machine learning;Measurement;Systematics;Predictive models;Quality assessment;Software;Estimation","","6","","22","IEEE","18 Sep 2020","","","IEEE","IEEE Conferences"
"Software Bug Tracker using Deep Learning","K. C. Mohanraj; M. Prasanth; S. Rafith; A. Sriman","Department of Information Technology, K.S. Rangasamy College of Technology, Tamil Nadu, India; Department of Information Technology, K.S. Rangasamy College of Technology, Tamil Nadu, India; Department of Information Technology, K.S. Rangasamy College of Technology, Tamil Nadu, India; Department of Information Technology, K.S. Rangasamy College of Technology, Tamil Nadu, India",2024 International Conference on Inventive Computation Technologies (ICICT),"7 Jun 2024","2024","","","200","205","Software bug prediction is the process of locating and predicting potential issues in a software project by using a range of techniques before they become costly and cause disruptive issues. The 'Deep Learning based Software Bug Tracker' is a novel approach presented in this research study. The primary goal of the proposed system is to revolutionize traditional bug tracking systems by automatically identifying, categorizing, and prioritizing software defects through the use of cutting-edge deep learning algorithms. ""Software bug prediction"" is the technique used for determining which software components have the highest likelihood of containing problems. To detect software flaws, the proposed system primarily employs two predictive modeling techniques: Learning to Rank (LTR) and Linear Regression (LR). It entails obtaining information from relevant and historical defect sources, preprocessing the information to clean and convert it, selecting features to identify important signals, and teaching Learning to Rank (LTR) and LR models. When put into practice, this method makes use of attributes to calculate the likelihood that software modules would have errors. The system's output controls how resources and testing strategies are used, enhancing the quality of software and development productivity. It is possible to effectively address proactive defect control during software development by using ongoing monitoring and adjustments that provide accuracy over time.","2767-7788","979-8-3503-5929-9","10.1109/ICICT60155.2024.10544629","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10544629","Software Bug Prediction;Data Sparsity;Machine Learning","Deep learning;Computational modeling;Computer bugs;Linear regression;Software algorithms;Software quality;Predictive models","","","","16","IEEE","7 Jun 2024","","","IEEE","IEEE Conferences"
"Predicting Software Errors Using Neural Networks","R. K. Pandey; J. Chand; A. K. Srivastava; N. P. Singh; R. K. Gautam","Department of Computer Science & Engineering, Invertis University, Bareilly, U.P., India; Department of Computer Science & Engineering, Invertis University, Bareilly, U.P., India; Department of Computer Science & Engineering, Madyanchal Professional University, Bhopal, M.P., India; Department of Computer Science & Engineering, Invertis University, Bareilly, U.P., India; Department of Computer Science & Engineering, Department of Information Technology, IET, Lucknow, U.P., India",2023 12th International Conference on System Modeling & Advancement in Research Trends (SMART),"19 Feb 2024","2023","","","197","202","The growing call for online technology software has additionally elevated the call for great and occasional-cost merchandise. Predicting software vulnerabilities is one of the most essential obligations of a very good security gadget. Growth nice at low cost by decreasing ordinary testing and preservation efforts. Early detection of defects in the software program improvement existence Cycle (SDLC) leads to early improvement and transport in the closing period of software program control, which leads to consumer delight and gives self assurance to the development group. in the beyond decade, many machine learning-primarily based blunders prediction software program were proposed to attain excessive accuracy. synthetic Neural Networks (ANN) are considered one of the system gaining knowledge of techniques and encompass maximum of the prediction schemes and models. * This examine provides a vital analysis of the modern facts published due to the fact that 20152018. On the usage of neural networks for software program prediction. This take a look at is based totally on the studies system information from 3 widely used digital libraries (which include IEEE, Elsevier and Springer) and then conducted the subsequent take a look at. 8 most crucial articles were selected in the course of the entire method. studies courses are examined meticulously. * This paintings will help researchers look into the modern-day country of software disorder prediction through focusing on neural networks and provide benchmarks for destiny trends. This white paper uses device getting to know and deep learning to find out the quality device gaining knowledge of algorithms for software defect prediction (SEP). This have a look at uses the NASA Metric statistics program (MDP) dataset to evaluate and predict the overall performance and accuracy of deep getting to know and machine getting to know fashions. the 2 mastering algorithms used are help vector machine (SVM) and logistic regression. Two deep studying strategies are used: convolutional community (CNN) and multilayer reputation (MLP). The result of this work is an in-depth look at of the effectiveness of gadget studying algorithms in SFP classification. There are 5 hidden layers within the MLP set of rules. While the MLP set of rules is used, the accuracy charge reaches ninety three.47%, and the accuracy of the convolution model, pooling and complete-layer CNN model reaches 97.38%. This situation examines gives strong proof of SFP intelligence by demonstrating the potential of deep mastering algorithms to expect software program defects.","2767-7362","979-8-3503-6988-5","10.1109/SMART59791.2023.10428165","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10428165","Software prediction;convolutional neural networks;Deep learning;multilayer perception;machine learning","Logistic regression;Neural networks;Software algorithms;Prediction algorithms;Market research;Software;Convolutional neural networks","","1","","18","IEEE","19 Feb 2024","","","IEEE","IEEE Conferences"
"Use of Deep Learning Model with Attention Mechanism for Software Fault Prediction","T. -Y. Yu; C. -Y. Huang; N. C. Fang","Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan; Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan",2021 8th International Conference on Dependable Systems and Their Applications (DSA),"1 Dec 2021","2021","","","161","171","Software defect prediction is a skill in software engineering that can increase program reliability. In the past, most defect prediction studies have been based on size and complexity metrics. In recent years, machine learning based predictive studies have been conducted. To build an accurate prediction model, choosing effective features remains critical. In this paper, we constructed a deep learning model called Defect Prediction via Self-Attention mechanism (DPSAM) to extract semantic features and predict defects automatically. We transferred programs into abstract syntax trees (ASTs) and encoded them into token vectors. With input features, we trained a self-attention mechanism to extract semantic features of programs and predict defects. We evaluated performance on 7 open source projects. In Within-Project Defect Prediction (WPDP), DPSAM achieved 16.8% and 14.4% performance improvement compared to state-of-the-art deep belief network (DBN)-based method and defect prediction via convolutional neural network (DP-CNN)-based method in F1 score, respectively. Besides, in Cross-Project Defect Prediction (CPDP), DPSAM achieve 23% and 60% performance improvement in F1 score compared to DBN-based method and DP-CNN-based method.","2767-6684","978-1-6654-4391-3","10.1109/DSA52907.2021.00025","Ministry of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9622921","Software engineering;Defect prediction;Deep learning;Convolutional Neural Network;Attention mechanism;Self-Attention mechanism","Deep learning;Training;Semantics;Predictive models;Feature extraction;Reliability engineering;Software","","12","","64","IEEE","1 Dec 2021","","","IEEE","IEEE Conferences"
"Software Visualization and Deep Transfer Learning for Effective Software Defect Prediction","J. Chen; K. Hu; Y. Yu; Z. Chen; Q. Xuan; Y. Liu; V. Filkov","College of Information Engineering, Zhejiang University of Technology, Hangzhou, China; College of Information Engineering, Zhejiang University of Technology, Hangzhou, China; College of Computer, National University of Defense Technology, Hefei, China; College of Information Engineering, Zhejiang University of Technology, Hangzhou, China; Institute of Cyberspace Security, Zhejiang University of Technology, Hangzhou, China; Institute of Process Equipment and Control Engineering, Zhejiang University of Technology, Hangzhou, China; Department of Computer Science, University of California, Davis, CA, USA",2020 IEEE/ACM 42nd International Conference on Software Engineering (ICSE),"21 Dec 2020","2020","","","578","589","Software defect prediction aims to automatically locate defective code modules to better focus testing resources and human effort. Typically, software defect prediction pipelines are comprised of two parts: the first extracts program features, like abstract syntax trees, by using external tools, and the second applies machine learning-based classification models to those features in order to predict defective modules. Since such approaches depend on specific feature extraction tools, machine learning classifiers have to be custom-tailored to effectively build most accurate models. To bridge the gap between deep learning and defect prediction, we propose an end-to-end framework which can directly get prediction results for programs without utilizing feature-extraction tools. To that end, we first visualize programs as images, apply the self-attention mechanism to extract image features, use transfer learning to reduce the difference in sample distributions between projects, and finally feed the image files into a pre-trained, deep learning model for defect prediction. Experiments with 10 open source projects from the PROMISE dataset show that our method can improve cross-project and within-project defect prediction. Our code and data pointers are available at https://zenodo.org/record/3373409#.XV0Oy5Mza35.","1558-1225","978-1-4503-7121-6","","National Natural Science Foundation of China(grant numbers:61502423,61572439,61702534); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9284026","Cross-project defect prediction;within-project defect prediction;deep transfer learning;self-attention;software visualization","Deep learning;Data visualization;Tools;Predictive models;Feature extraction;Software;Testing","","15","","76","","21 Dec 2020","","","IEEE","IEEE Conferences"
"Seml: A Semantic LSTM Model for Software Defect Prediction","H. Liang; Y. Yu; L. Jiang; Z. Xie","Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China",IEEE Access,"8 Jul 2019","2019","7","","83812","83824","Software defect prediction can assist developers in finding potential bugs and reducing maintenance cost. Traditional approaches usually utilize software metrics (Lines of Code, Cyclomatic Complexity, etc.) as features to build classifiers and identify defective software modules. However, software metrics often fail to capture programs' syntax and semantic information. In this paper, we propose Seml, a novel framework that combines word embedding and deep learning methods for defect prediction. Specifically, for each program source file, we first extract a token sequence from its abstract syntax tree. Then, we map each token in the sequence to a real-valued vector using a mapping table, which is trained with an unsupervised word embedding model. Finally, we use the vector sequences and their labels (defective or non-defective) to build a Long Short Term Memory (LSTM) network. The LSTM model can automatically learn the semantic information of programs and perform defect prediction. The evaluation results on eight open source projects show that Seml outperforms three state-of-the-art defect prediction approaches on most of the datasets for both within-project defect prediction and cross-project defect prediction.","2169-3536","","10.1109/ACCESS.2019.2925313","National Natural Science Foundation of China(grant numbers:U1713212); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8747001","Defect prediction;Long Short Term Memory Network;word embedding","Semantics;Predictive models;Training;Logic gates;Software;Feature extraction;Syntactics","","81","","55","CCBY","27 Jun 2019","","","IEEE","IEEE Journals"
"An in-Depth Analysis of the Software Features’ Impact on the Performance of Deep Learning-Based Software Defect Predictors","D. -L. Miholca; V. -I. Tomescu; G. Czibula","Department of Computer Science, Babes-Bolyai University, Cluj-Napoca, Romania; Department of Computer Science, Babes-Bolyai University, Cluj-Napoca, Romania; Department of Computer Science, Babes-Bolyai University, Cluj-Napoca, Romania",IEEE Access,"24 Jun 2022","2022","10","","64801","64818","Software Defects Prediction represents an essential activity during software development that contributes to continuously improving software quality and software maintenance and evolution by detecting defect-prone modules in new versions of a software system. In this paper, we are conducting an in-depth analysis on the software features’ impact on the performance of deep learning-based software defect predictors. We further extend a large-scale feature set proposed in the literature for detecting defect-proneness, by adding conceptual software features that capture the semantics of the source code, including comments. The conceptual features are automatically engineered using Doc2Vec, an artificial neural network based prediction model. A broad evaluation performed on the Calcite software system highlights a statistically significant improvement obtained by applying deep learning-based classifiers for detecting software defects when using conceptual features extracted from the source code for characterizing the software entities.","2169-3536","","10.1109/ACCESS.2022.3181995","Ministry of Research, Innovation and Digitization, CNCS/CCCDI–UEFISCDI, within PNCDI III(grant numbers:PN-III-P4-ID-PCE-2020-0800); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793667","Deep learning;Doc2vec;latent semantic indexing;software defect prediction","Software;Codes;Software systems;Feature extraction;Testing;Predictive models;Computer bugs","","11","","91","CCBY","10 Jun 2022","","","IEEE","IEEE Journals"
"Hybrid Software Defect Prediction Based on LSTM (Long Short Term Memory) and Word Embedding","R. B. Bahaweres; D. Jumral; I. Hermadi; A. I. Suroso; Y. Arkeman","Department of Informatics, Syarif Hidayatullah State Islamic University, Jakarta, Indonesia; Department of Informatics, Syarif Hidayatullah State Islamic University, Jakarta, Indonesia; Computer Science Dept, IPB University, Bogor, Indonesia; School of Business, IPB University, Bogor, Indonesia; Department of Agro-Industrial Tech., IPB University, Bogor, Indonesia","2021 2nd International Conference On Smart Cities, Automation & Intelligent Computing Systems (ICON-SONICS)","23 Nov 2021","2021","","","70","75","Defects often occur in software so it can cause various problems for users. The running system may have defects, although they are not immediately apparent. Defects can be UI or display defects or defects in logic code. In predicting software defects several methods have been developed focusing on software metrics (Line of Code, Cyclomatic Complexity, etc.). But in capturing program syntax and semantics and the ability to build accurate predictive models, software metrics often fail. We propose a method that combines deep learning methods and word embedding to predict software defects. We will map tokens using an abstract syntax tree from the source code and then build an LSTM network to predict software defects. The dataset used is taken from an open source Java project, namely the Apache Project Repository. The evaluation results show that the LSTM method combined with word embedding can get accuracy 98%, precision 89%, recall 92% and f1-score 90%. This is greater than other software defect prediction methods.","","978-1-6654-4992-2","10.1109/ICON-SONICS53103.2021.9617182","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9617182","Software Defect Prediction;Word Embedding;Long Short-Term Memory","Deep learning;Java;Codes;Software metrics;Semantics;Focusing;Syntactics","","1","","20","IEEE","23 Nov 2021","","","IEEE","IEEE Conferences"
