Item type,Authors,Title,Journal,Publication year,DOI,URLs,Volume,Issue,Pages,Date published,ISSN,Abstract,Keywords,Notes
Journal Article,"Zhang N,Ying S,Ding W,Zhu K,Zhu D",WGNCS: A robust hybrid cross-version defect model via multi-objective optimization and deep enhanced feature representation,Information Sciences,2021,10.1016/j.ins.2021.05.008,http://dx.doi.org/10.1016/j.ins.2021.05.008;https://www.sciencedirect.com/science/article/pii/S0020025521004540,570,,545-576,2021,0020-0255,"For a constantly-evolving software project with multiple releasing versions, Cross-Version Defect Prediction (CVDP) can identify the potential defect in the latter one by mining historical defect information from the prior releasing software versions. Unfortunately, the imbalanced class distribution and the complex intrinsic structure in software projects make it challenging to obtain suitable defect features and construct a predominant CVDP model. To address these challenges, we propose a robust hybrid CVDP model named WGNCS based on WGAN-GP (Wasserstein GAN with Gradient Penalty), multi-objective NSGA-III (Non-dominated Sorting Genetic Algorithm - III) algorithm and hybrid CNN-SVM (Convolutional Neural Network – Support Vector Machine) in this study, which has three main merits: (1) employ a powerful deep learning generative model – WGAN-GP to conduct data augmentation tasks, thereby achieving defect class balance and generating more training instances. (2) utilize the multi-objective NSGA-III algorithm to select the fewest representative training feature subset for the minimum error. (3) construct a single powerful defect predictor CNN-SVM by cascading a high-level deep semantic feature extractor (CNN) and a classifier (SVM) with the fixed non-linear Gaussian kernel function. We verify the CVDP performance of WGNCS on 32 cross-version pairs derived from 45 software project versions. The experimental results demonstrate that the WGNCS model can exhibit encouraging performance.","Cross-version defect prediction, Multi-objective feature selection, Deep learning techniques, Wasserstein GAN with Gradient Penalty, Convolutional neural network",
Journal Article,"Xing Y,Qian X,Guan Y,Yang B,Zhang Y",Cross-project defect prediction based on G-LSTM model,Pattern Recognition Letters,2022,10.1016/j.patrec.2022.04.039,http://dx.doi.org/10.1016/j.patrec.2022.04.039;https://www.sciencedirect.com/science/article/pii/S0167865522001519,160,,50-57,2022,0167-8655,"Cross-project defect prediction (CPDP) is currently a hot research direction in the field of software reliability. Traditional CPDP methods cannot capture the semantic and contextual information of programs by handcrafted features, which affects the prediction performance. In this paper, we apply technology in the NLP domain to solve it. We first extract token vectors from the abstract syntax tree (AST) of source and target code files, and then convert them into numerical vectors by the word embedding algorithm of continuous bag-of-word model (CBOW) as the input of the proposed deep learning model named Generative Adversarial Long-Short Term Memory Neural Networks (G-LSTM). The model integrates generative adversarial network (GAN) and bidirectional long-short term memory networks (BiLSTM) with attention mechanism to automatically learn semantic and contextual features of programs. Specifically, GAN is used to eliminate the differences in data distribution between source and target projects, and BiLSTM is the feature extraction encoder. We compose five projects of the PROMISE dataset into 20 source-target project pairs and conduct comparison experiments on them. The experimental results demonstrate that our method outperforms some traditional and state-of-the-art CPDP methods in terms of the evaluation metrics of AUC and Acc.","Computational language processing, Cross-project defect prediction, Long-term and short-term memory neural network, Continuous bag-of-word model, Generative adversarial network",
Journal Article,"Briciu A,Czibula G,Lupea M",A study on the relevance of semantic features extracted using BERT-based language models for enhancing the performance of software defect classifiers,Procedia Computer Science,2023,10.1016/j.procs.2023.10.149,http://dx.doi.org/10.1016/j.procs.2023.10.149;https://www.sciencedirect.com/science/article/pii/S1877050923013078,225,,1601-1610,2023,1877-0509,"In the context of new research in the software defect prediction (SDP) task using pre-trained language models, the present study aims to analyze the relevance of semantic features extracted using BERT-based language models for the detection of defective source codes. RoBERTa and CodeBERT-MLM language models are used to generate source code embeddings that capture semantic and contextual features which help in solving language understanding tasks such as SDP. The learned representations are then fed to a neural network-based SDP classifier in order to decide which of the learned code embeddings are more informative in discriminating between faulty and non-faulty software entities. Extensive experiments are conducted in a cross-version SDP scenario for Apache Calcite, an open-source framework for data management. The evaluation results of the defect classifiers show a statistically significant improvement when the code representations are learned by the pre-trained models compared with the semantic representations provided by other natural language-based models, doc2vec and LSI.","software defects prediction, deep learning, code embedding, pre-trained language model, RoBERTa, CodeBERT, Calcite software 2000 MSC: 68T07, 68T10",27th International Conference on Knowledge Based and Intelligent Information and Engineering Sytems (KES 2023)
Journal Article,"Shi K,Lu Y,Chang J,Wei Z",PathPair2Vec: An AST path pair-based code representation method for defect prediction,Journal of Computer Languages,2020,10.1016/j.cola.2020.100979,http://dx.doi.org/10.1016/j.cola.2020.100979;https://www.sciencedirect.com/science/article/pii/S2590118420300393,59,,100979,2020,2590-1184,"Software project defect prediction (SDP) can predict the bug probability of software by their features and allocate their testing efforts. The existing software defect prediction methods can be divided into two categories: methods based on traditional handcrafted features and methods based on automatically made abstract features, especially those made by deep learning. The current research indicates that deep learning-based automatic features can achieve better performance than handcrafted features. Code2vec (Alon et al. 2019) is one of the best source code representation models, which leverages deep learning to learn automatic representations from code. In this paper, inspired by code2vec, we propose a new AST path pair-based source code representation method (PathPair2Vec) and apply it to software project defect prediction. We first propose the concept of the short path to describe each terminal node and its control logic. Then, we design a new sequence encoding method to code the different parts of the terminal node and its control logic. Finally, by pairs of short paths, we describe the semantic information of code and fuse them by an attention mechanism. Experiments on the PROMISE dataset show that our method improves the F1 score by 17.88% over the state-of-the-art SDP method, and the AST path pair-based source code representation can better identify the defect features of the source code.","Defect prediction, AST path, Deep learning, Representation learning",
Journal Article,"Long W,Qixin Z,Zakharov MA,Lee S",Optimizing fault prediction in software based on MnasNet/LSTM optimized by an improved lotus flower algorithm,Egyptian Informatics Journal,2025,10.1016/j.eij.2025.100623,http://dx.doi.org/10.1016/j.eij.2025.100623;https://www.sciencedirect.com/science/article/pii/S1110866525000167,29,,100623,2025,1110-8665,"Software quality and reliability are very important problems in the field of software production. Software error and defect detection technology is one of the most important research goals in the field of software system reliability that prevents software failure. Therefore, the performance of the defect prediction model in order to accurately predict defects is important in improving and effectiveness of models. In this paper, an attempt has been made to present a hybrid and efficient classification model based on deep learning and metaheuristic models for predicting defects of software. The basis of the suggested model is utilizing a combination of MnasNet (for extracting the semantics of AST tokens) and LSTM (for keeping the key features). It has been improved with the help of an improved variant of Lotus Flower Algorithm (ILFA) so that appropriate coefficients and acceptable results can be produced with the optimization power of metaheuristic algorithms and the learning power of the network. For evaluating the results of the suggested model, the model is applied to a practical dataset and the results are compared with some different methods. The new combined model worked best for the Xerces project, reaching 93% accuracy, which was much better than other models. It also performed well on different projects, improving accuracy by 3.3% to 7.9% after cleaning the data and fixing the issue of uneven class sizes. The results indicate that the proposed model can achieve the highest values ​​of efficiency.","Faults, Defect, Prediction, MnasNet, Long short-term memory, Improved Lotus Flower Algorithm",
Journal Article,"Mehta S,Kumar L,Misra S,Patnaik KS,Singh V",Nested deep learning with learned network embeddings for software defect prediction,Applied Soft Computing,2025,10.1016/j.asoc.2025.113057,http://dx.doi.org/10.1016/j.asoc.2025.113057;https://www.sciencedirect.com/science/article/pii/S1568494625003680,174,,113057,2025,1568-4946,"Existing software (SW) defect prediction approaches and the models are majorly based on features extracted from the code of the software to build defect datasets for predictive modeling. However, these models fail to sufficiently capture the complex, latent dependencies within the software components, which acts as a hindrance in achieving higher predictive accuracy. This study introduces an improved defect prediction model, the Nested Deep Learning (NDL) model, that leverages network embeddings from call graphs for enhanced representation of intricate hierarchical class dependencies and interactions. This work evaluates six network-embedding algorithms by applying them to call graphs of 10 real software projects, generating embeddings of dimensions 32 and 128. A total of 50 NDL models—with and without dropout layers—are developed, and a comparative evaluation of these models is conducted against traditional classifier-based models. This evaluation demonstrated the superiority of the NDL model with dropout, achieving a mean AUC of 0.87, an 8.98 % improvement over the traditional classifier-based models. Among the evaluated embedding methods, LINE embeddings outperformed others, and integrating network embeddings with software metrics led to a 15.85 % AUC improvement over using software metrics alone. The optimal configuration—combining software metrics with LINE embeddings (dimension 128) in an NDL model with three deep learning layers and dropout—achieved a mean AUC of 0.93, surpassing all other configurations by 3.33–14.81 %. This study is the first to validate the effectiveness of a nested deep learning framework for modeling call graph dependencies through network embeddings, providing a scalable and robust approach for improving software defect prediction.","Software defect prediction, Nested deep learning, Network embedding, Deep neural network, Call graph",
Journal Article,"Zhou T,Sun X,Xia X,Li B,Chen X",Improving defect prediction with deep forest,Information and Software Technology,2019,10.1016/j.infsof.2019.07.003,http://dx.doi.org/10.1016/j.infsof.2019.07.003;https://www.sciencedirect.com/science/article/pii/S0950584919301466,114,,204-216,2019,0950-5849,"Context Software defect prediction is important to ensure the quality of software. Nowadays, many supervised learning techniques have been applied to identify defective instances (e.g., methods, classes, and modules). Objective However, the performance of these supervised learning techniques are still far from satisfactory, and it will be important to design more advanced techniques to improve the performance of defect prediction models. Method We propose a new deep forest model to build the defect prediction model (DPDF). This model can identify more important defect features by using a new cascade strategy, which transforms random forest classifiers into a layer-by-layer structure. This design takes full advantage of ensemble learning and deep learning. Results We evaluate our approach on 25 open source projects from four public datasets (i.e., NASA, PROMISE, AEEEM and Relink). Experimental results show that our approach increases AUC value by 5% compared with the best traditional machine learning algorithms. Conclusion The deep strategy in DPDF is effective for software defect prediction.","Software defect prediction, Deep forest, Cascade strategy, Empirical evaluation",
Journal Article,"Fei Q,Hu H,Yin G,Sun Z",A Software Defect Prediction Method Using a Multivariate Heterogeneous Hybrid Deep Learning Algorithm,"Computers, Materials and Continua",2025,10.32604/cmc.2024.058931,http://dx.doi.org/10.32604/cmc.2024.058931;https://www.sciencedirect.com/science/article/pii/S1546221825000724,82,2,3251-3279,2025,1546-2218,"Software defect prediction plays a critical role in software development and quality assurance processes. Effective defect prediction enables testers to accurately prioritize testing efforts and enhance defect detection efficiency. Additionally, this technology provides developers with a means to quickly identify errors, thereby improving software robustness and overall quality. However, current research in software defect prediction often faces challenges, such as relying on a single data source or failing to adequately account for the characteristics of multiple coexisting data sources. This approach may overlook the differences and potential value of various data sources, affecting the accuracy and generalization performance of prediction results. To address this issue, this study proposes a multivariate heterogeneous hybrid deep learning algorithm for defect prediction (DP-MHHDL). Initially, Abstract Syntax Tree (AST), Code Dependency Network (CDN), and code static quality metrics are extracted from source code files and used as inputs to ensure data diversity. Subsequently, for the three types of heterogeneous data, the study employs a graph convolutional network optimization model based on adjacency and spatial topologies, a Convolutional Neural Network-Bidirectional Long Short-Term Memory (CNN-BiLSTM) hybrid neural network model, and a TabNet model to extract data features. These features are then concatenated and processed through a fully connected neural network for defect prediction. Finally, the proposed framework is evaluated using ten promise defect repository projects, and performance is assessed with three metrics: F1, Area under the curve (AUC), and Matthews correlation coefficient (MCC). The experimental results demonstrate that the proposed algorithm outperforms existing methods, offering a novel solution for software defect prediction.","Software defect prediction, multiple heterogeneous data, graph convolutional network models based on adjacency and spatial topologies, CNN-BiLSTM, TabNet",
Journal Article,"Zhang F,Che Y,Liang T,Jiang W",Clone consistent-defect prediction based on deep learning method,Information Sciences,2023,10.1016/j.ins.2023.03.007,http://dx.doi.org/10.1016/j.ins.2023.03.007;https://www.sciencedirect.com/science/article/pii/S0020025523003031,633,,357-369,2023,0020-0255,"Many consistent changes take place across code clones in software, and this has emerged as a severe issue for software security. If the developers forget to modify the relevant clones consistently, such modifications will introduce consistent-defect. Researchers leverage machine learning techniques to predict clone consistent-defect by representing these changes with the designed attributes. Meanwhile, deep learning technology has demonstrated tremendous potential in characterizing source code. As such, we explore whether deep learning technology can enhance the effectiveness of clone consistent-defect prediction. In this study, we investigate various neural networks for modeling clone consistent change. Specifically, our approach models code clones and their evolution to capture the semantic properties automatically from the perspectives of clone fragment, clone group, and clone evolution, as opposed to manually generated attributes. To evaluate the effectiveness of our approach, we conduct an experiment on the dataset collected from 8 open-source projects. The results demonstrate that our neural network models are efficient both in cross-project and within-project scenarios, with F-measures of around 80% and recalls of around 90%. We conclude that deep learning technology may successfully assist developers in predicting clone consistent-defect, so helping to improve the security of code clones by alerting developers to confirm their consistency.","Clone consistent change, Consistent-defect, Software maintenance, Software safety, Deep learning",
Journal Article,"He H,Xu H,Zhao G,Huang G,Zhao B",Towards structured semantic representation via hierarchical transformer network for software defect prediction,Journal of Systems and Software,2026,10.1016/j.jss.2025.112672,http://dx.doi.org/10.1016/j.jss.2025.112672;https://www.sciencedirect.com/science/article/pii/S0164121225003413,232,,112672,2026,0164-1212,"In recent years, deep learning techniques have gained widespread adoption in source code defect prediction. Nevertheless, significant challenges persist in effectively capturing and representing the structural characteristics inherent in programming code. Primary limitations include: (i) text sequence-based models frequently inadequately represent the distinctive structural properties of source code, and (ii) approaches dependent on compiler-generated structural representations exhibit substantial toolchain dependencies. This makes them difficult to apply to languages lacking mature compilers or to non-standard code samples. This paper addresses these challenges by systematically analyzing the fundamental differences between source code and natural language text. We propose a compiler-independent hierarchical representation method for source code. Additionally, we introduce an adaptive, layered defect prediction model named Hierarchical Transformer Network, which learns structured contextual semantic information for function-level defect detection. Experimental results on two widely used real-world datasets, CWE and CodeXGLUE, show that our method outperforms baseline models. Specifically, we observe improvements of 5.11 % and 8.58 % in AUC-ROC, respectively. Compared to the standard Transformer model, our method significantly reduces the computational resources required. The unique two-dimensional hierarchical structure enables the model to capture longer contexts with fewer resources. This approach greatly lowers the computational and learning costs for both model usage and research.","Defect prediction, Structured representation, Attention mechanism, Transformer",
